,닥터뉴엘 워터풀 스킨베리어 로센스_0,닥터뉴엘 워터풀 스킨베리어 로센스_1,Dr.G 레드 블레미쉬 멀티 플루이드_0,Dr.G 레드 블레미쉬 멀티 플루이드_1,셀라피 에이리페어 오리지날 로션_0,셀라피 에이리페어 오리지날 로션_1,홀리카홀리카 굳세라 수퍼 세라마이드 에멀젼_0,홀리카홀리카 굳세라 수퍼 세라마이드 에멀젼_1,이니스프리 오트 마일드 모이스처 인텐시브 로션_0,이니스프리 오트 마일드 모이스처 인텐시브 로션_1,싸이닉 더 심플 데일리 로션_0,싸이닉 더 심플 데일리 로션_1,피지오겔 데일리 모이스쳐 테라피 페이셜 로션_0,피지오겔 데일리 모이스쳐 테라피 페이셜 로션_1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.45614,22.85714
1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,64.91228,27.61904
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,73.68421,23.80952
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,56.14035,20.95238
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,75.43859,15.23809
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.38596,21.90476
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.91228,19.04761
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,57.89473,27.61904
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.14035,37.14285
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.4035,33.33333
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,54.38596,40.95238
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,100.0,21.90476
12,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,57.89473,17.14285
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,87.71929,22.85714
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,73.68421,22.85714
15,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,66.66666,19.04761
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,40.35087,19.04761
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,89.47368,15.23809
18,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,63.15789,15.23809
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.68421,25.71428
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,57.89473,27.61904
21,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.95238,43.85964,20.95238
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,47.36842,17.14285
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.95238,59.64912,15.23809
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,84.21052,19.04761
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.90476,91.22807,14.28571
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,71.92982,16.19047
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,71.92982,23.80952
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.64912,19.04761
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,64.91228,21.90476
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,23.80952
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.57142,45.61403,24.7619
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.94382,52.38095,68.42105,22.85714
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7191,28.57142,64.91228,30.47619
34,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,53.93258,23.80952,82.45614,28.57142
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,48.3146,23.80952,50.87719,26.66666
36,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,37.5,33.70786,23.80952,52.63157,25.71428
37,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.73033,28.57142,75.43859,25.71428
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16666,10.11235,0.0,91.22807,17.14285
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83333,17.97752,0.0,63.15789,15.23809
40,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,11.23595,0.0,50.87719,17.14285
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,38.09523,92.98245,21.90476
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23595,0.0,75.43859,28.57142
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,11.23595,38.09523,64.91228,5.71428
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74157,0.0,50.87719,20.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,54.38596,22.85714
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.42105,33.33333
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83333,8.98876,57.14285,71.92982,89.5238
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,24.7191,0.0,47.36842,100.0
49,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,15.73033,76.19047,71.92982,61.90476
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,14.60674,0.0,36.8421,57.14285
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.83333,5.61797,28.57142,38.59649,57.14285
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,73.68421,50.47619
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.83333,0.0,33.33333,89.47368,33.33333
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.16666,13.48314,0.0,70.17543,44.7619
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,10.11235,52.38095,40.35087,67.61904
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,57.14285,49.1228,51.42857
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86516,28.57142,54.38596,49.5238
58,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.87719,44.7619
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.98876,23.80952,28.07017,38.09523
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,42.85714,57.89473,30.47619
61,210,776309,3810,7428,232358,629,64312,82139,5048,1181076,1061302,1848,1888,53399
